Time(ms),Zone,Speed(M/s),ID,Status,Step,Yaw,Pitch,PlayerPos_X,PlayerPos_Y,PlayerPos_Z,NearestCarId,NearestCarType,NearestCarDistance,NearestCar_Speed,NearestCarPos_X,NearestCarPos_Y,NearestCarPos_Z
0.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
0.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.1,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.2,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.3,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.4,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.5,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.6,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.7,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.8,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
1.9,Unknown,0,033_04Jul2026_1601,Stop,0,331.52,0,0,0,0,,,0.03,0,-0.02,1.03,0.02
