Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,5563011,386401.125,85111.71875,86388.125,13.5705280303955
F7,1687427,221063.03125,68187.4921875,82286.09375,57.3774337768555
F3,2506010.5,355463.34375,66021.4765625,55824.75390625,10.0191173553467
FC5,1845432.625,238368.84375,61212.765625,69720.78125,379.997253417969
T7,50996808,1342708.625,349965,271242.78125,1648.88354492188
P7,2105964.5,401712.75,81567.0078125,104168.9921875,14.4555511474609
O1,1831155.5,244832.46875,66195.859375,73768.46875,217.216674804688
O2,3426274.25,796584.1875,467730.1875,853474.625,586.0048828125
P8,1017320.875,358200.75,62082.53515625,80844.765625,48.5268325805664
T8,100075976,6942123.5,2163661.75,1525508.125,38.2110633850098
FC6,1345476.625,261873.921875,62962.19140625,60364.8203125,86.6404800415039
F4,3123979.25,404346.6875,101740.375,112952.609375,55.5786628723145
F8,1810877.375,245645.515625,60312.52734375,59708.04296875,455.772766113281
AF4,5381795,330647.5,58980.79296875,51364.9765625,59.0560607910156
