Channel,Mean_Before,Mean_After,Variance_Before,Variance_After
AF3,0.1198324,0.1276454,14668.51,14606.87
F7,0.1710918,0.1768082,7767.795,7658.004
F3,-0.02487193,-0.02167318,3246.599,3215.755
FC5,-0.03641585,-0.03223965,1668.819,1641.993
T7,0.07650184,0.08455373,1545.05,1491.133
P7,-0.05183987,-0.04936692,1813.922,1709.04
O1,0.2447293,0.2548841,6396.346,6286.273
O2,0.09200233,0.09699323,1646.078,1610.604
P8,-0.06766389,-0.07058828,1671.051,1617.988
T8,-0.1952379,-0.2063271,34709.7,34064.16
FC6,-0.01624954,-0.02192255,2499.631,2441.025
F4,-0.1334184,-0.1415219,4893.657,4850.75
F8,-0.09761578,-0.1036073,2851.879,2828.86
AF4,-0.08083841,-0.09363583,10174.28,10126.17
