Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,0.1198324,121.1136,14668.51,121.1092,695.6516,-567.903,1263.555,-1.930232,44965904,363021.84375,107352.8125,125964.2890625,145.674713134766
F7,0.1710918,88.13509,7767.795,88.13203,641.8376,-376.0055,1017.843,-1.545886,16576885,590095.3125,320525.96875,467560.3125,24.8357276916504
F3,-0.02487193,56.97894,3246.599,56.97686,385.1815,-273.5753,658.7567,-0.04565716,10709501,295837.5625,106127.28125,108784.234375,33.411548614502
FC5,-0.03641585,40.85118,1668.819,40.84971,183.704,-243.1953,426.8992,0.9001424,5361934.5,195894.515625,93227.53125,111858.0625,43.2847785949707
T7,0.07650184,39.30712,1545.05,39.30576,166.1937,-229.9091,396.1028,1.496142,5444875,241832,185916.171875,241318.078125,99.1660919189453
P7,-0.05183987,42.59016,1813.922,42.58863,202.2063,-333.4584,535.6647,0.1629687,5493736.5,473100.8125,236698.40625,553935.875,24.6669902801514
O1,0.2447293,79.97716,6396.346,79.97459,670.8797,-334.8234,1005.703,-2.282655,16884862,827943,391237.5,468515.84375,69.6806564331055
O2,0.09200233,40.57188,1646.078,40.5705,235.7321,-213.968,449.7001,-0.1059162,5534153,294007.8125,119552.6875,149962.734375,28.8694095611572
P8,-0.06766389,40.87849,1671.051,40.87704,386.2765,-260.457,646.7335,1.214265,7271217,464937.375,158810.75,243435,27.3417377471924
T8,-0.1952379,186.3054,34709.7,186.2987,1529.481,-1753.164,3282.645,-0.5581348,144239648,10566409,3570443.5,2218793.5,162.8388671875
FC6,-0.01624954,49.99631,2499.631,49.99448,233.1417,-232.5316,465.6733,1.411129,4482416,242268.296875,191298.1875,279709.5,39.073429107666
F4,-0.1334184,69.95468,4893.657,69.95225,322.8165,-311.3734,634.1898,0.7645009,11180852,284238.375,139075.484375,154990.53125,82.8113555908203
F8,-0.09761578,53.40299,2851.879,53.40113,241.6197,-243.6416,485.2614,0.3711609,6997252,190671,77708.5703125,76627.734375,43.4159851074219
AF4,-0.08083841,100.8676,10174.28,100.864,525.2411,-348.4138,873.6549,0.2975339,25815878,371423.8125,127942.765625,124403.1875,206.823837280273
