Channel,Mean_Before,Mean_After,Variance_Before,Variance_After
AF3,-0.07261917,-0.0887919,1193.266,1121.581
F7,0.3446597,0.3238369,593.6519,553.6542
F3,-0.3482181,-0.3561132,1073.355,1022.038
FC5,0.7706127,0.7504324,2886.583,2803.467
T7,0.137501,0.1294938,725.9518,685.2052
P7,0.2687516,0.2378039,3826.367,3764.469
O1,0.7218691,0.6768555,950.5872,912.5757
O2,0.8541648,0.8127772,7045.744,6953.068
P8,-1.473234,-1.429786,11109.88,10942.57
T8,-0.009609946,0.0340603,2090.61,2025.995
FC6,-0.8830643,-0.8455017,916.1631,725.1149
F4,0.4852142,0.4617344,518.1793,491.1228
F8,0.05474439,0.1296644,15299.52,14968.98
AF4,-0.8507704,-0.8364641,1264.687,1175.353
