Channel,Mean,Std,Variance,RMS,Maximum,Minimum,Range,Median,Delta,Theta,Alpha,Beta,Gamma
AF3,-0.8774941,64.83981,4204.201,64.83943,448.4063,-360.5348,808.9411,-2.659181,5619383.5,244174.453125,84917.765625,93892.0234375,736.715576171875
F7,0.01620797,19.02668,362.0146,19.02484,91.07668,-174.5444,265.6211,0.8241073,537481.125,34901.71484375,22514.408203125,43689.05078125,3.30558490753174
F3,0.268205,40.11375,1609.113,40.11073,194.3004,-287.8946,482.1949,1.082861,1534890.75,56086.38671875,19470.869140625,22653.64453125,7.13184690475464
FC5,-0.2059873,34.53188,1192.451,34.52913,227.2547,-227.0686,454.3233,0.3540746,1603167.5,218382.234375,52968.078125,67278.875,5.43957233428955
T7,0.06061311,21.60648,466.8398,21.60445,98.13397,-132.7478,230.8818,1.014755,814681.5,54312.68359375,24710.5078125,46652.36328125,18.8051433563232
P7,1.285985,66.58476,4433.531,66.59067,349.6024,-224.1303,573.7327,-3.038494,6055620,289586.25,95420.5625,93983.2578125,408.238006591797
O1,0.2604638,117.4452,13793.37,117.434,1467.018,-363.8289,1830.846,0.40342,19626794,306600,138061.046875,273438.5625,239.704376220703
O2,0.1304271,40.97381,1678.853,40.97002,191.0018,-296.3871,487.389,1.711272,1638362.625,149417.90625,146491.140625,341325.59375,29.8598728179932
P8,-1.229619,54.2593,2944.072,54.26791,314.6623,-224.742,539.4042,-0.1148722,4619944.5,355472.46875,128630.9921875,95981.15625,428.368988037109
T8,0.06942626,93.42068,8727.424,93.41157,472.0379,-435.6633,907.7012,2.570928,14790184,590592.5,183185.953125,196165.5,7.90172863006592
FC6,-0.06303655,36.89649,1361.351,36.89294,158.7385,-243.7768,402.5153,1.146139,882153.5,227060,420185,750694.125,55.6027603149414
F4,0.1297136,19.92967,397.1918,19.92815,78.88248,-180.833,259.7155,0.6598774,464159.5625,43890.15234375,17569.259765625,28289.80078125,25.8137512207031
F8,0.05388913,41.10194,1689.369,41.09796,206.2167,-231.941,438.1577,1.332344,2042668.25,169404.15625,39859.39453125,48993.3515625,18.3880844116211
AF4,0.1012059,78.98851,6239.185,78.98083,751.4171,-484.4803,1235.897,-1.330678,8980132,234224.6875,120541.5234375,170498.90625,15.7761096954346
