Channel,Delta,Theta,Alpha,Beta,Gamma
AF3,7362938,598319.8125,180943.46875,194936.421875,16.8995113372803
F7,3518293.5,184680.65625,49990.109375,94734.109375,37.2956962585449
F3,1876445.875,137568.0625,54361.9296875,84578.5078125,87.5469741821289
FC5,6351228.5,241219.625,117581.40625,214703.015625,16.7713375091553
T7,121913408,5838260,583975,204057.328125,241.565902709961
P7,2255717.5,108754.359375,54743.90234375,117087.7734375,168.510620117188
O1,2446792.25,216943.28125,105994.1796875,175138.328125,9.99017143249512
O2,10317053,396659.4375,106055.75,136562.859375,18.5591201782227
P8,4402515,272994.25,118001.453125,152205.546875,15.7959814071655
T8,49726736,1056454,108509.796875,125877.453125,159.950866699219
FC6,4068949.75,204413.34375,199087.40625,277356.5,10.2919015884399
F4,2728197.5,136458.46875,55796.5546875,68658.078125,42.2282791137695
F8,5847134,213088.28125,69932.0390625,100361.921875,8.86386680603027
AF4,15712613,497056.28125,237324.65625,340672.5,26.8025436401367
