Channel,Mean_Before,Mean_After,Variance_Before,Variance_After
AF3,-0.07281993,-0.08903253,1195.171,1123.345
F7,0.3447542,0.3239309,593.6028,553.5853
F3,-0.3482535,-0.3561403,1073.484,1022.155
FC5,0.7706784,0.7504441,2886.585,2803.488
T7,0.1376034,0.1295889,725.7881,685.0388
P7,0.2686328,0.2376478,3825.776,3763.898
O1,0.7219495,0.6769485,950.5342,912.5
O2,0.8542559,0.8128439,7045.308,6952.649
P8,-1.473007,-1.429621,11108.01,10940.78
T8,-0.009710891,0.03393112,2091.032,2026.435
FC6,-0.8829678,-0.845376,916.3624,725.4109
F4,0.4852809,0.4618153,518.0928,491.0176
F8,0.05478472,0.1298606,15305.81,14975.01
AF4,-0.8511866,-0.8368419,1263.218,1173.935
