delta_power,theta_power,alpha_power,beta_power,gamma_power
-7.26786689224356,-7.13775654738263,-12.5476603586606,-10.4342454013579,-12.9314777844961
-10.9736231107565,-10.3640189536721,-17.7768335916386,-15.4380062828391,-19.5442106955658
-8.36485095958213,-8.14872574549191,-12.6606623853926,-11.2525990305121,-14.0960957180742
-9.22409589442208,-8.65161573056014,-14.6095170724827,-12.2909977863644,-15.3945565218497
-8.5716139225893,-8.34161833398685,-13.8477352756767,-11.9981291981945,-14.6058091888974
-9.45684851180587,-9.50670892836205,-8.0643409211457,-12.8261223573127,-15.5693330791297
-9.19188849479509,-7.80901378696762,-3.84812925096104,-13.7084501072352,-15.6901374838633
-9.31680785316162,-7.79474191157059,-3.8350826216069,-13.6468866488799,-15.6358241408982
-9.47875326175389,-9.46895205860163,-8.31139592836088,-13.1464048611252,-15.6434491903347
-10.4790343970791,-9.68341266227399,-17.3994265833413,-15.2538607804597,-18.9386675841169
-9.68667625774985,-9.06215979292467,-14.7562818244464,-12.4746183551415,-15.5650746815761
-8.01242080143723,-8.40560555506109,-13.1394102714532,-11.0986043405482,-13.3989090727995
-7.73168702010074,-7.69650862954817,-12.6488515224522,-11.1270901940332,-13.027656956813
-6.89624364175787,-7.30643110986433,-12.5131183581376,-10.6450730206815,-12.8921219185982
